lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Readaptation,,readaptieren,VVINF,2,0,0,
Realisation,,realisieren,VVINF,831,8784,1,1.0
Reanimation,,reanimieren,VVINF,304,140,1,1.0
Reformation,,reformieren,VVINF,3451,558,1,1.0
Regeneration,,regenerieren,VVINF,2232,848,1,1.0
Registration,,registrieren,VVINF,258,9818,1,1.0
Regulation,,regulieren,VVINF,917,1485,1,1.0
Rehabilitation,,rehabilitieren,VVINF,3586,241,1,1.0
Reinkarnation,,reinkarnieren,VVINF,809,0,0,
Reintegration,,reintegrieren,VVINF,233,0,0,
Reinterpretation,,reinterpretieren,VVINF,14,0,0,
Rekapitulation,,rekapitulieren,VVINF,81,94,1,1.0
Reklamation,,reklamieren,VVINF,2145,564,1,1.0
Rekombination,,rekombinieren,VVINF,179,0,0,
Rekreation,,rekreieren,VVINF,29,0,0,
Rekuperation,,rekuperieren,VVINF,51,0,0,
Relation,,relieren,VVINF,3527,0,0,
Relaxation,,relaxieren,VVINF,117,0,0,
Relegation,,relegieren,VVINF,895,5,1,1.0
Renovation,,renovieren,VVINF,154,965,1,1.0
Reorganisation,,reorganisieren,VVINF,586,77,1,1.0
Reparation,,reparieren,VVINF,240,3536,1,1.0
Replikation,,replikieren,VVINF,343,0,0,
Repräsentation,,repräsentieren,VVINF,1937,806,1,1.0
Reputation,,reputieren,VVINF,1582,0,0,
Reservation,,reservieren,VVINF,273,1723,1,1.0
Resignation,,resignieren,VVINF,1288,267,1,1.0
Restauration,,restaurieren,VVINF,1394,709,1,1.0
Restimulation,,restimulieren,VVINF,11,0,0,
Rezitation,,rezitieren,VVINF,249,165,1,1.0
Rotation,,rotieren,VVINF,1931,485,1,1.0
Säkularisation,,säkularisieren,VVINF,432,11,1,1.0
Salvation,,salvieren,VVINF,169,0,0,
Sedimentation,,sedimentieren,VVINF,154,0,0,
Segregation,,segregieren,VVINF,286,0,0,
Sensation,,sensieren,VVINF,3123,0,0,
Separation,,separieren,VVINF,235,170,1,1.0
Simplifikation,,simplifikieren,VVINF,12,0,0,
Simulation,,simulieren,VVINF,4988,1329,1,1.0
Situation,,situieren,VVINF,95999,0,0,
