lemma,POS,freq
Lücke,NN,223854
Flügel,NN,223727
Recherche,NN,223498
Welpe,NN,223468
Hütte,NN,222978
Bogen,NN,222791
wünschen,VVINF,222202
fehlen,VVINF,221473
teilen,VVINF,220723
müde,ADJD,220650
müde,ADJA,55124
Obst,NN,220580
Chaos,NN,220492
Armut,NN,220344
Fax,NN,219211
Frühling,NN,217965
Zelt,NN,217887
Apfel,NN,217793
Hitze,NN,217770
Finanz,NN,217630
Terrasse,NN,217280
Pilot,NN,215839
Muskel,NN,215712
Ferien,NN,215680
doof,ADJD,215440
doof,ADJA,55198
drehen,VVINF,215063
Modus,NN,213359
liefern,VVINF,213352
klären,VVINF,212835
Möbel,NN,212641
Protokoll,NN,212099
Apotheke,NN,212074
Bilanz,NN,211902
lachen,VVINF,211589
Müll,NN,211497
