sfx,iter,period,factor,sample_size,n_types,entropy
er,91,1482-1549,0.25,15,11,3.240223928941852
er,91,1482-1549,0.125,8,6,2.5
er,91,1482-1549,0.0625,4,4,2.0
er,92,1482-1549,1.0,57,33,4.612477333299178
er,92,1482-1549,0.5,29,21,4.211260736432279
er,92,1482-1549,0.25,15,13,3.640223928941852
er,92,1482-1549,0.125,8,6,2.4056390622295667
er,92,1482-1549,0.0625,4,4,2.0
er,93,1482-1549,1.0,57,33,4.612477333299178
er,93,1482-1549,0.5,29,16,3.645523772412739
er,93,1482-1549,0.25,15,12,3.3735572622751855
er,93,1482-1549,0.125,8,8,3.0
er,93,1482-1549,0.0625,4,3,1.5
er,94,1482-1549,1.0,57,33,4.612477333299178
er,94,1482-1549,0.5,29,20,3.9734470484240116
er,94,1482-1549,0.25,15,13,3.640223928941852
er,94,1482-1549,0.125,8,6,2.4056390622295667
er,94,1482-1549,0.0625,4,4,2.0
er,95,1482-1549,1.0,57,33,4.612477333299178
er,95,1482-1549,0.5,29,17,3.616601684782744
er,95,1482-1549,0.25,15,10,3.139572261986723
er,95,1482-1549,0.125,8,8,3.0
er,95,1482-1549,0.0625,4,4,2.0
er,96,1482-1549,1.0,57,33,4.612477333299178
er,96,1482-1549,0.5,29,19,3.8784509276597543
er,96,1482-1549,0.25,15,12,3.456564762130954
er,96,1482-1549,0.125,8,6,2.5
er,96,1482-1549,0.0625,4,4,2.0
er,97,1482-1549,1.0,57,33,4.612477333299178
er,97,1482-1549,0.5,29,18,4.004364184708141
er,97,1482-1549,0.25,15,11,3.240223928941852
er,97,1482-1549,0.125,8,7,2.75
er,97,1482-1549,0.0625,4,4,2.0
er,98,1482-1549,1.0,57,33,4.612477333299178
er,98,1482-1549,0.5,29,20,4.086790375244802
er,98,1482-1549,0.25,15,13,3.5898980954642874
er,98,1482-1549,0.125,8,7,2.75
er,98,1482-1549,0.0625,4,4,2.0
er,99,1482-1549,1.0,57,33,4.612477333299178
er,99,1482-1549,0.5,29,21,4.211260736432279
er,99,1482-1549,0.25,15,13,3.640223928941852
er,99,1482-1549,0.125,8,8,3.0
er,99,1482-1549,0.0625,4,3,1.5
er,100,1482-1549,1.0,57,33,4.612477333299178
er,100,1482-1549,0.5,29,21,4.1297252889633045
er,100,1482-1549,0.25,15,13,3.640223928941852
er,100,1482-1549,0.125,8,7,2.75
er,100,1482-1549,0.0625,4,4,2.0
er,1,1550-1649,1.0,58,26,4.153933197040765
er,1,1550-1649,0.5,29,19,3.904481531182632
er,1,1550-1649,0.25,15,9,2.9232314287976213
er,1,1550-1649,0.125,8,6,2.5
er,1,1550-1649,0.0625,4,4,2.0
er,2,1550-1649,1.0,58,26,4.153933197040765
er,2,1550-1649,0.5,29,20,4.099360305472398
er,2,1550-1649,0.25,15,10,2.872905595320056
er,2,1550-1649,0.125,8,6,2.5
er,2,1550-1649,0.0625,4,4,2.0
er,3,1550-1649,1.0,58,26,4.153933197040765
er,3,1550-1649,0.5,29,19,3.8784509276597543
er,3,1550-1649,0.25,15,11,3.240223928941852
er,3,1550-1649,0.125,8,8,3.0
er,3,1550-1649,0.0625,4,3,1.5
er,4,1550-1649,1.0,58,26,4.153933197040765
er,4,1550-1649,0.5,29,19,3.904481531182632
er,4,1550-1649,0.25,15,9,2.866247897312731
er,4,1550-1649,0.125,8,7,2.75
er,4,1550-1649,0.0625,4,2,0.8112781244591328
er,5,1550-1649,1.0,58,26,4.153933197040765
er,5,1550-1649,0.5,29,19,3.904481531182632
er,5,1550-1649,0.25,15,10,3.1068905956085193
er,5,1550-1649,0.125,8,7,2.75
er,5,1550-1649,0.0625,4,4,2.0
er,6,1550-1649,1.0,58,26,4.153933197040765
er,6,1550-1649,0.5,29,18,3.909368063943884
er,6,1550-1649,0.25,15,10,3.1068905956085193
er,6,1550-1649,0.125,8,7,2.75
er,6,1550-1649,0.0625,4,3,1.5
er,7,1550-1649,1.0,58,26,4.153933197040765
er,7,1550-1649,0.5,29,13,3.2443952185940814
er,7,1550-1649,0.25,15,8,2.7898980954642876
er,7,1550-1649,0.125,8,5,2.0
er,7,1550-1649,0.0625,4,4,2.0
er,8,1550-1649,1.0,58,26,4.153933197040765
er,8,1550-1649,0.5,29,17,3.788341339656749
er,8,1550-1649,0.25,15,9,2.739572261986723
er,8,1550-1649,0.125,8,7,2.75
er,8,1550-1649,0.0625,4,4,2.0
er,9,1550-1649,1.0,58,26,4.153933197040765
er,9,1550-1649,0.5,29,18,3.8404025467025042
er,9,1550-1649,0.25,15,13,3.5898980954642874
er,9,1550-1649,0.125,8,6,2.4056390622295667
er,9,1550-1649,0.0625,4,3,1.5
er,10,1550-1649,1.0,58,26,4.153933197040765
er,10,1550-1649,0.5,29,16,3.547636167541365
er,10,1550-1649,0.25,15,11,3.3735572622751855
er,10,1550-1649,0.125,8,5,2.1556390622295667
er,10,1550-1649,0.0625,4,3,1.5
er,11,1550-1649,1.0,58,26,4.153933197040765
er,11,1550-1649,0.5,29,17,3.810928306279286
er,11,1550-1649,0.25,15,10,2.9995812306460645
er,11,1550-1649,0.125,8,6,2.4056390622295667
er,11,1550-1649,0.0625,4,3,1.5
er,12,1550-1649,1.0,58,26,4.153933197040765
