sfx,iter,factor,sample_size,n_types,entropy
-schaft,17,1.0,19197,140,4.510063303366516
-schaft,17,0.5,9599,126,4.4842888772464935
-schaft,17,0.25,4800,109,4.522704639955182
-schaft,17,0.125,2400,87,4.459075911909974
-schaft,17,0.0625,1200,70,4.423630462585137
-schaft,18,1.0,19197,138,4.481719172508442
-schaft,18,0.5,9599,125,4.4915604739291215
-schaft,18,0.25,4800,106,4.52258208997718
-schaft,18,0.125,2400,88,4.4838804421436915
-schaft,18,0.0625,1200,68,4.40205177429497
-schaft,19,1.0,19197,132,4.510014460010035
-schaft,19,0.5,9599,120,4.4930602057036895
-schaft,19,0.25,4800,98,4.5316386456664
-schaft,19,0.125,2400,84,4.471302247205466
-schaft,19,0.0625,1200,71,4.408127403497636
-schaft,20,1.0,19197,140,4.488409371129625
-schaft,20,0.5,9599,115,4.497775312568508
-schaft,20,0.25,4800,101,4.461254391152564
-schaft,20,0.125,2400,91,4.499853831692747
-schaft,20,0.0625,1200,69,4.35152187878189
-schaft,21,1.0,19197,139,4.521967561190963
-schaft,21,0.5,9599,115,4.497926378236258
-schaft,21,0.25,4800,107,4.531186720199917
-schaft,21,0.125,2400,96,4.45932441850136
-schaft,21,0.0625,1200,68,4.413026373059611
-schaft,22,1.0,19197,142,4.532011618503577
-schaft,22,0.5,9599,129,4.510685790555153
-schaft,22,0.25,4800,110,4.503847754407384
-schaft,22,0.125,2400,91,4.5231835155914055
-schaft,22,0.0625,1200,73,4.448255929705362
-schaft,23,1.0,19197,142,4.525168361426279
-schaft,23,0.5,9599,130,4.509699785296373
-schaft,23,0.25,4800,112,4.48800269677244
-schaft,23,0.125,2400,90,4.505083370281765
-schaft,23,0.0625,1200,68,4.417584633046426
-schaft,24,1.0,19197,142,4.517543863502637
-schaft,24,0.5,9599,116,4.465998654947281
-schaft,24,0.25,4800,104,4.471061745224723
-schaft,24,0.125,2400,87,4.442207594468835
-schaft,24,0.0625,1200,70,4.466120532688815
-schaft,25,1.0,19197,132,4.481347937229363
-schaft,25,0.5,9599,118,4.497361150011607
-schaft,25,0.25,4800,100,4.532788903902775
-schaft,25,0.125,2400,89,4.466829424769414
-schaft,25,0.0625,1200,68,4.396647553237668
-schaft,26,1.0,19197,140,4.518600827644851
-schaft,26,0.5,9599,125,4.49544007506963
-schaft,26,0.25,4800,96,4.412072041125377
-schaft,26,0.125,2400,84,4.4680294999218955
-schaft,26,0.0625,1200,67,4.4027522481127965
-schaft,27,1.0,19197,135,4.497444264877287
-schaft,27,0.5,9599,124,4.4969964242963565
-schaft,27,0.25,4800,101,4.460869322458877
-schaft,27,0.125,2400,91,4.493526815650269
-schaft,27,0.0625,1200,71,4.448009769126741
-schaft,28,1.0,19197,145,4.54094116445074
-schaft,28,0.5,9599,124,4.5295829554488485
-schaft,28,0.25,4800,106,4.5150194812163
-schaft,28,0.125,2400,94,4.403994448947448
-schaft,28,0.0625,1200,66,4.353928367835957
-schaft,29,1.0,19197,137,4.5053585869723864
-schaft,29,0.5,9599,126,4.489164722920426
-schaft,29,0.25,4800,107,4.540381035263982
-schaft,29,0.125,2400,86,4.423664522083792
-schaft,29,0.0625,1200,71,4.423898570810101
-schaft,30,1.0,19197,138,4.513061696267841
-schaft,30,0.5,9599,122,4.481097997239692
-schaft,30,0.25,4800,104,4.465210291655253
-schaft,30,0.125,2400,84,4.46075993166085
-schaft,30,0.0625,1200,70,4.401480848723651
-schaft,31,1.0,19197,133,4.493008500985378
-schaft,31,0.5,9599,131,4.566343721807658
-schaft,31,0.25,4800,107,4.454638958488842
-schaft,31,0.125,2400,86,4.409314798191619
-schaft,31,0.0625,1200,73,4.480384654138086
-schaft,32,1.0,19197,136,4.498632418174828
-schaft,32,0.5,9599,129,4.5107679807339895
-schaft,32,0.25,4800,108,4.527430496290437
-schaft,32,0.125,2400,89,4.4794938482239495
-schaft,32,0.0625,1200,77,4.445852462853494
-schaft,33,1.0,19197,141,4.499251569826874
-schaft,33,0.5,9599,120,4.462534246510042
-schaft,33,0.25,4800,111,4.502141675932898
-schaft,33,0.125,2400,86,4.464218922897559
-schaft,33,0.0625,1200,75,4.447598014740272
-schaft,34,1.0,19197,140,4.5006623911979915
-schaft,34,0.5,9599,123,4.49642783358038
-schaft,34,0.25,4800,103,4.475209289596357
-schaft,34,0.125,2400,90,4.4502361161117685
-schaft,34,0.0625,1200,65,4.450776143738382
-schaft,35,1.0,19197,137,4.513642371113197
-schaft,35,0.5,9599,124,4.511978856992142
-schaft,35,0.25,4800,102,4.497714412865319
-schaft,35,0.125,2400,86,4.514108454166563
-schaft,35,0.0625,1200,71,4.372023482020356
-schaft,36,1.0,19197,141,4.513946830119468
-schaft,36,0.5,9599,115,4.515171888420714
-schaft,36,0.25,4800,113,4.4942747582579825
-schaft,36,0.125,2400,86,4.426627764344075
-schaft,36,0.0625,1200,73,4.529627577800953
-schaft,37,1.0,19197,141,4.48864539683783
-schaft,37,0.5,9599,124,4.475195563677551
-schaft,37,0.25,4800,111,4.483221421618174
-schaft,37,0.125,2400,88,4.519089233972125
