sfx,iter,period,factor,sample_size,n_types,entropy
er,87,1482-1549,0.25,15,10,2.9995812306460645
er,87,1482-1549,0.125,8,7,2.75
er,87,1482-1549,0.0625,4,4,2.0
er,88,1482-1549,1.0,57,22,4.008679148958403
er,88,1482-1549,0.5,29,15,3.4786706502999856
er,88,1482-1549,0.25,15,8,2.682588730501833
er,88,1482-1549,0.125,8,8,3.0
er,88,1482-1549,0.0625,4,4,2.0
er,89,1482-1549,1.0,57,27,4.468879383255016
er,89,1482-1549,0.5,29,19,4.116264615668022
er,89,1482-1549,0.25,15,11,3.323231428797621
er,89,1482-1549,0.125,8,6,2.4056390622295667
er,89,1482-1549,0.0625,4,4,2.0
er,90,1482-1549,1.0,57,26,4.24686145286811
er,90,1482-1549,0.5,29,16,3.434387460122597
er,90,1482-1549,0.25,15,12,3.506890595608519
er,90,1482-1549,0.125,8,7,2.75
er,90,1482-1549,0.0625,4,4,2.0
er,91,1482-1549,1.0,57,26,4.133451041522318
er,91,1482-1549,0.5,29,17,3.740519893176996
er,91,1482-1549,0.25,15,10,3.139572261986723
er,91,1482-1549,0.125,8,6,2.5
er,91,1482-1549,0.0625,4,4,2.0
er,92,1482-1549,1.0,57,24,4.127185947241971
er,92,1482-1549,0.5,29,16,3.697584979458495
er,92,1482-1549,0.25,15,13,3.640223928941852
er,92,1482-1549,0.125,8,7,2.75
er,92,1482-1549,0.0625,4,4,2.0
er,93,1482-1549,1.0,57,25,4.29910190951175
er,93,1482-1549,0.5,29,19,3.9783335811852627
er,93,1482-1549,0.25,15,12,3.456564762130954
er,93,1482-1549,0.125,8,5,2.25
er,93,1482-1549,0.0625,4,4,2.0
er,94,1482-1549,1.0,57,26,4.231412601618351
er,94,1482-1549,0.5,29,16,3.602588858694238
er,94,1482-1549,0.25,15,12,3.456564762130954
er,94,1482-1549,0.125,8,7,2.75
er,94,1482-1549,0.0625,4,4,2.0
er,95,1482-1549,1.0,57,23,3.8659416144393672
er,95,1482-1549,0.5,29,17,3.9353986674667625
er,95,1482-1549,0.25,15,9,2.9232314287976213
er,95,1482-1549,0.125,8,6,2.5
er,95,1482-1549,0.0625,4,3,1.5
er,96,1482-1549,1.0,57,23,4.058584261361808
er,96,1482-1549,0.5,29,17,3.659536598501245
er,96,1482-1549,0.25,15,10,3.189898095464288
er,96,1482-1549,0.125,8,7,2.75
er,96,1482-1549,0.0625,4,4,2.0
er,97,1482-1549,1.0,57,19,3.6686589390387248
er,97,1482-1549,0.5,29,18,3.909368063943884
er,97,1482-1549,0.25,15,12,3.456564762130954
er,97,1482-1549,0.125,8,7,2.75
er,97,1482-1549,0.0625,4,4,2.0
er,98,1482-1549,1.0,57,21,3.9615164966138936
er,98,1482-1549,0.5,29,18,3.922828737239166
er,98,1482-1549,0.25,15,11,3.323231428797621
er,98,1482-1549,0.125,8,5,2.1556390622295667
er,98,1482-1549,0.0625,4,4,2.0
er,99,1482-1549,1.0,57,24,4.220374172090444
er,99,1482-1549,0.5,29,17,3.572318494605355
er,99,1482-1549,0.25,15,13,3.640223928941852
er,99,1482-1549,0.125,8,7,2.75
er,99,1482-1549,0.0625,4,4,2.0
er,100,1482-1549,1.0,57,24,4.132997856452793
er,100,1482-1549,0.5,29,16,3.645523772412739
er,100,1482-1549,0.25,15,12,3.456564762130954
er,100,1482-1549,0.125,8,6,2.5
er,100,1482-1549,0.0625,4,4,2.0
er,1,1550-1649,1.0,58,21,3.8628886363297945
er,1,1550-1649,0.5,29,12,3.4435137534498512
er,1,1550-1649,0.25,15,10,3.1068905956085193
er,1,1550-1649,0.125,8,6,2.5
er,1,1550-1649,0.0625,4,4,2.0
er,2,1550-1649,1.0,58,23,3.869045711743239
er,2,1550-1649,0.5,29,10,3.1845559946799575
er,2,1550-1649,0.25,15,12,3.506890595608519
er,2,1550-1649,0.125,8,8,3.0
er,2,1550-1649,0.0625,4,3,1.5
er,3,1550-1649,1.0,58,21,3.946018012548586
er,3,1550-1649,0.5,29,14,3.4386272206886
er,3,1550-1649,0.25,15,10,3.139572261986723
er,3,1550-1649,0.125,8,7,2.75
er,3,1550-1649,0.0625,4,4,2.0
er,4,1550-1649,1.0,58,17,3.3216086440792214
er,4,1550-1649,0.5,29,18,3.728502115742624
er,4,1550-1649,0.25,15,11,3.323231428797621
er,4,1550-1649,0.125,8,8,3.0
er,4,1550-1649,0.0625,4,3,1.5
er,5,1550-1649,1.0,58,20,3.8623153750955974
er,5,1550-1649,0.5,29,15,3.507592737929979
er,5,1550-1649,0.25,15,9,2.9735572622751856
er,5,1550-1649,0.125,8,4,1.75
er,5,1550-1649,0.0625,4,4,2.0
er,6,1550-1649,1.0,58,21,3.84997705775625
er,6,1550-1649,0.5,29,15,3.6729972717965267
er,6,1550-1649,0.25,15,9,2.9735572622751856
er,6,1550-1649,0.125,8,6,2.5
er,6,1550-1649,0.0625,4,3,1.5
er,7,1550-1649,1.0,58,20,3.8598721087149723
er,7,1550-1649,0.5,29,13,3.3407396158172267
er,7,1550-1649,0.25,15,10,2.9995812306460645
er,7,1550-1649,0.125,8,6,2.5
er,7,1550-1649,0.0625,4,2,0.8112781244591328
er,8,1550-1649,1.0,58,22,3.7983079476742456
er,8,1550-1649,0.5,29,15,3.6074753914554885
er,8,1550-1649,0.25,15,11,3.240223928941852
er,8,1550-1649,0.125,8,8,3.0
er,8,1550-1649,0.0625,4,4,2.0
er,9,1550-1649,1.0,58,20,3.8582239744912363
er,9,1550-1649,0.5,29,14,3.6335059949783663
er,9,1550-1649,0.25,15,7,2.5492553971685
er,9,1550-1649,0.125,8,7,2.75
er,9,1550-1649,0.0625,4,4,2.0
er,10,1550-1649,1.0,58,20,3.841524902658439
er,10,1550-1649,0.5,29,16,3.7974676329840045
er,10,1550-1649,0.25,15,9,2.9735572622751856
er,10,1550-1649,0.125,8,7,2.75
er,10,1550-1649,0.0625,4,4,2.0
er,11,1550-1649,1.0,58,19,3.5688244293275706
er,11,1550-1649,0.5,29,16,3.699027875319406
er,11,1550-1649,0.25,15,8,2.872905595320056
er,11,1550-1649,0.125,8,5,2.25
er,11,1550-1649,0.0625,4,4,2.0
